ID;Công ty/Cơ quan/Đơn vị tuyển dụng;Tỉnh/Thành phố;Phạm vi (Nhà nước/DN trong nước/DN nước ngoài);Ngày đăng;Tháng đăng;Năm đăng;Số lượng tuyển dụng;Số lượng nữ (nếu có);Lĩnh vực tuyển dụng cấp 1 (CNTT/Du lịch/Điện, …);Tên công việc;Vị trí công việc (nếu có);Mức lương (nếu có);Trình độ;Yêu cầu kinh nghiệm/trình độ (năm);Link bài đăng để minh chứng
696;Công Ty Cổ Phần Điện Tử Benny Việt Nam;N/A;DN trong nước;2;12;2024;2;2;Xuất Nhập Khẩu;Giám Sát Bán Hàng;Quản lý nhóm- giám sát;N/A;Chứng chỉ;3;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/giam-sat-ban-hang.html
697;Công Ty TNHH Đầu Tư Và Dịch Vụ Thương Mại Trung Việt;TP.HCM;DN trong nước;29;11;2024;2;0;Thông tin - Truyền thông - Quảng cáo;Nhân Viên Livestream Từ 12 - 15 Triệu;Chuyên viên- nhân viên;N/A;Trung học;3;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-livestream-tu-12-15-trieu.html
698;Công Ty CP Thanh Thế Việt Nam;Hà Nội;DN trong nước;4;12;2024;2;0;Marketing;Nhân Viên Marketing;Chuyên viên- nhân viên;N/A;Chứng chỉ;4;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-marketing.html
699;Công Ty TNHH Sản Xuất - Thương Mại Chấn Vinh;TP.HCM;DN trong nước;2;12;2024;2;0;Xuất Nhập Khẩu;Nhân Viên Bán Hàng / Sales Xuất Khẩu / Kinh Doanh Xuất Khẩu Ngành Nước Giải Khát;Chuyên viên- nhân viên;N/A;N/A;3;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-ban-hang-sales-xuat-khau-kinh-doanh-xuat-khau-nganh-nuoc-giai-khat.html
700;Công Ty Cổ Phần Công Nghệ Sen Đỏ;Bình Dương;DN trong nước;11;12;2024;5;0;Bán sỉ - Bán lẻ - Quản lý cửa hàng;Chuyên Viên QC Thực Phẩm;Chuyên viên- nhân viên;N/A;N/A;1;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/chuyen-vien-qc-thuc-pham.html
701;Công Ty TNHH Cpci Việt Nam;Hà Nội;DN trong nước;27;11;2024;2;0;Xây dựng;Cán Bộ QS;Chuyên viên- nhân viên;N/A;Lao động phổ thông;1;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/can-bo-qs.html
702;Công Ty TNHH TM DV Tân Hiệp Phát;N/A;DN trong nước;3;12;2024;2;0;Cơ khí - Ô tô - Tự động hóa; Kỹ Sư Cơ Khí , Thu Nhập 12-15 Triệu (Đi Làm Ngay);Chuyên viên- nhân viên;N/A;Lao động phổ thông;4;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/ky-su-co-khi-thu-nhap-12-15-trieu-di-lam-ngay.html
703;Công Ty Cổ Phần Kamnex;Hà Nội;DN trong nước;29;11;2024;2;0;Marketing;Nhân Viên SEO Marketing (Lương 12 - 20 Triệu / Tháng);Chuyên viên- nhân viên;N/A;Chứng chỉ;1;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-seo-marketing-luong-12-20-trieu-thang.html
704;Công Ty TNHH Rubic Group;Đồng Nai;DN trong nước;27;11;2024;5;0;Thiết kế - Sáng tạo nghệ thuật;Nhân Viên Thiết Kế Đồ Họa Làm Tại Biên Hòa - Đồng Nai;Chuyên viên- nhân viên;N/A;Chứng chỉ;3;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-thiet-ke-do-hoa-lam-tai-bien-hoa-dong-nai.html
705;Công Ty Cổ Phần Sản Xuất Thương Mại Dịch Vụ An Hiệp Phát.V N\t;TP.HCM;DN trong nước;17;12;2024;2;0;Kế toán;Kế Toán Tổng Hợp Tại Hóc Môn - Lương 12 - 15Tr - Nhận Việc Ngay;Chuyên viên- nhân viên;N/A;N/A;3;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/ke-toan-tong-hop-tai-hoc-mon-luong-12-15tr-nhan-viec-ngay.html
706;Công Ty TNHH Thiết Bị Công Nghiệp Phương Anh;N/A;DN trong nước;13;12;2024;3;0;Bán hàng - Kinh doanh;Nhân Viên Kinh Doanh - Không Yêu Cầu Kinh Nghiệm;Chuyên viên- nhân viên;N/A;Chứng chỉ;1;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-kinh-doanh-khong-yeu-cau-kinh-nghiem.html
707;Công Ty Cổ Phần Xây Dựng Dic Holdings;Bà Rịa - Vũng Tàu;DN trong nước;27;11;2024;3;3;Xây dựng;Kỹ Sư Cấp Thoát Nước Làm Việc Tại Vũng Tàu;Chuyên viên- nhân viên;N/A;N/A;5;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/ky-su-cap-thoat-nuoc-lam-viec-tai-vung-tau.html
708;Công Ty TNHH Thương Mại Và Vận Tải Phương Anh;Hà Nội;DN trong nước;3;12;2024;2;0;Kế toán;Kế Toán Tổng Hợp Lương 15 – 18Tr / Tháng;Chuyên viên- nhân viên;N/A;Lao động phổ thông;5;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/ke-toan-tong-hop-luong-15-18tr-thang.html
709;Công Ty Cổ Phần Nhôm Đô Thành;Hà Nội;DN trong nước;3;12;2024;2;0;Bán hàng - Kinh doanh;Nhân Viên Xuất Nhập Khẩu (Logistic);Chuyên viên- nhân viên;N/A;Lao động phổ thông;4;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-xuat-nhap-khau-logistic.html
710;Công Ty Cổ Phần Giải Pháp Nhk;Hà Nội;DN trong nước;10;12;2024;1;0;Kế toán;Kế Toán Tổng Hợp;Chuyên viên- nhân viên;N/A;N/A;5;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/ke-toan-tong-hop.html
711;Công Ty Cổ Phần Công Nghiệp Việt Nhất;Bình Dương;DN trong nước;11;12;2024;2;0;Bán hàng - Kinh doanh;Nhân Viên Kinh Doanh – Chăm Sóc Khách Hàng;Chuyên viên- nhân viên;N/A;N/A;3;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-kinh-doanh-cham-soc-khach-hang.html
712;Công Ty CP Quốc Tế Ico;Hà Nội;DN trong nước;3;12;2024;6;0;Bán hàng - Kinh doanh;Nhân Viên Tư Vấn Du Học;Chuyên viên- nhân viên;N/A;N/A;3;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-tu-van-du-hoc.html
713;Df Farm;Lâm Đồng;DN trong nước;5;12;2024;2;0;Thiết kế - Sáng tạo nghệ thuật;Nhân Viên Designer;Chuyên viên- nhân viên;N/A;N/A;3;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-designer.html
714;Công Ty Cổ Phần Dược Mỹ Phẩm Sanova;Hà Nội;DN trong nước;17;12;2024;1;0;Kế toán;Kế Toán Tổng Hợp;Chuyên viên- nhân viên;N/A;Lao động phổ thông;3;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/ke-toan-tong-hop.html
715;Công Ty TNHH Một Thành Viên Thương Mại Và Xây Dựng Nội Thất Hoàng Dũng;N/A;DN trong nước;6;12;2024;8;0;Xây dựng;Kỹ Sư Xây Dựng Nhôm Kính Cơ Khí;Chuyên viên- nhân viên;N/A;N/A;1;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/ky-su-xay-dung-nhom-kinh-co-khi.html
716;CÔNG TY TNHH TƯ VẤN VÀ THIẾT KẾ XÂY DỰNG TÍN GIA PHÁT;Bình Dương;DN trong nước;9;12;2024;2;0;Xây dựng;Kỹ Sư Dân Dụng;Chuyên viên- nhân viên;N/A;N/A;4;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/ky-su-dan-dung.html
717;Công Ty TNHH Jollibee Việt Nam;Bắc Ninh;DN trong nước;10;12;2024;5;0;Khách sạn - Nhà hàng - Du lịch;[Bắc Ninh] Giám Sát Cửa Hàng;Quản lý nhóm- giám sát;N/A;Chứng chỉ;3;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/bac-ninh-giam-sat-cua-hang.html
718;Tổng Công Ty Cổ Phần Miền Trung;Thanh Hóa;DN trong nước;1;12;2023;2;0;Xây dựng;Kỹ Sư Xây Dựng;Quản lý nhóm- giám sát;N/A;N/A;5;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/ky-su-xay-dung.html
719;Công Ty Tnhh Qh19 Sports \u0026 Management;Hà Nội;DN trong nước;20;12;2024;2;0;Kế toán;Kế Toán Nội Bộ;Chuyên viên- nhân viên;N/A;Lao động phổ thông;3;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/ke-toan-noi-bo.html
720;Công Ty TNHH Kolon Industries Việt Nam;Bình Dương;DN trong nước;16;12;2024;2;0;Quản lý tiêu chuẩn và chất lượng;Nhân Viên QA;Chuyên viên- nhân viên;N/A;Lao động phổ thông;3;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-qa.html
721;Công Ty Cổ Phần Tập Đoàn Vinastone;N/A;DN trong nước;9;12;2024;2;0;Kiểm toán;Chuyên Viên Kế Toán Tổng Hợp;Chuyên viên- nhân viên;N/A;N/A;4;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/chuyen-vien-ke-toan-tong-hop.html
722;Công Ty Cổ Phần Di Chuyển Xanh Và Thông Minh Gsm;TP.HCM;DN trong nước;24;12;2024;4;0;Cơ khí - Ô tô - Tự động hóa;Chuyên Viên Kiểm Soát Scbd;Chuyên viên- nhân viên;N/A;N/A;4;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/chuyen-vien-kiem-soat-scbd.html
723;Công Ty Cổ Phần Tập Đoàn Th Group;Thái Bình;DN trong nước;17;12;2024;5;0;Bán hàng - Kinh doanh;Nhân Viên Kinh Doanh Thu Nhập Lên Tới 20 Triệu;Chuyên viên- nhân viên;N/A;N/A;1;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-kinh-doanh-thu-nhap-len-toi-20-trieu.html
724;Công Ty Cổ Phần Tập Đoàn Anh Vinh;Đồng Nai;DN trong nước;11;12;2024;3;0;Giáo dục - Đào tạo;Trưởng Phòng Tuyển Sinh;Quản lý cấp cao;N/A;N/A;5;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/truong-phong-tuyen-sinh.html
725;Công Ty TNHH Hình Ảnh Sông Hồng;Hà Nội;DN trong nước;24;12;2024;1;0;Kế toán;Kế Toán Tổng Hợp;Chuyên viên- nhân viên;N/A;N/A;4;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/ke-toan-tong-hop.html
726;Chi Nhánh Công Ty TNHH Thương Mại Và Tbyt Mỹ Việt;TP.HCM;DN trong nước;24;12;2024;3;0;Bán hàng - Kinh doanh;Nhân Viên Kinh Doanh;Chuyên viên- nhân viên;N/A;N/A;3;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-kinh-doanh.html
727;Công Ty Cổ Phần Xuất Nhập Khẩu Bến Tre (Betrimex);Bến Tre;DN trong nước;18;12;2024;2;0;Môi trường - Xử lý chất thải;Nhân Viên An Toàn - Sức Khỏe - Môi Trường (S.H.E);Chuyên viên- nhân viên;N/A;N/A;3;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-an-toan-suc-khoe-moi-truong-s-h-e.html
728;Công Ty TNHH Anvimed Việt Nam;Hà Nội;DN trong nước;10;12;2024;2;0;Bán hàng - Kinh doanh;Nhân Viên Kinh Doanh - Không Áp Kpi;Chuyên viên- nhân viên;N/A;N/A;2;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-kinh-doanh-khong-ap-kpi.html
729;Công Ty TNHH Một Thành Viên Thương Mại Dịch Vụ Cơ Điện Lạnh Tùng Thanh;TP.HCM;DN trong nước;12;12;2024;5;5;Cơ khí - Ô tô - Tự động hóa;Thợ Điện Công Nghiệp - Nhận Việc Ngay;Chuyên viên- nhân viên;N/A;N/A;2;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/tho-dien-cong-nghiep-nhan-viec-ngay.html
730;Công Ty TNHH HQsing;TP.HCM;DN trong nước;5;12;2024;5;0;Marketing;Chuyên Viên E-Commerce Mkt;Chuyên viên- nhân viên;N/A;N/A;3;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/chuyen-vien-e-commerce-mkt.html
731;Công Ty TNHH Xây Dựng Cơ Điện Hồng Hà;Hà Nội;DN trong nước;6;12;2024;2;0;Bán hàng - Kinh doanh;Trưởng Phòng Kinh Doanh;Quản lý cấp cao;N/A;Lao động phổ thông;5;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/truong-phong-kinh-doanh.html
732;Công Ty TNHH May Mặc Hồng Nhật;TP.HCM;DN trong nước;24;12;2024;1;0;Dệt may - Da giày - Thời trang;Nhân Viên Kinh Doanh Hàng May Mặc;Chuyên viên- nhân viên;N/A;N/A;5;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-kinh-doanh-hang-may-mac.html
733;Công Ty Tnhh Vải Sợi Tín Nghĩa Thành;TP.HCM;DN trong nước;18;12;2024;2;0;Chăm sóc khách hàng;Nhân Viên Telesale;Chuyên viên- nhân viên;N/A;Trung học;3;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-telesale.html
734;Công Ty TNHH May Mặc Việt Thiên;Vĩnh Phúc;DN trong nước;3;12;2024;3;0;Kế toán;Kế Toán Trưởng Kinh Nghiệm Từ 5 Năm;Quản lý cấp trung;N/A;N/A;7;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/ke-toan-truong-kinh-nghiem-tu-5-nam.html
735;Công Ty TNHH Một Thành Viên Thương Mại Dịch Vụ Cơ Điện Lạnh Tùng Thanh;TP.HCM;DN trong nước;12;12;2024;2;0;Cơ khí - Ô tô - Tự động hóa;Thợ Hàn Điện, Hàn Tig - Nhận Việc Ngay;Chuyên viên- nhân viên;N/A;N/A;2;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/tho-han-dien-han-tig-nhan-viec-ngay.html
736;Công Ty TNHH Polytex Far Eastern (Việt Nam);TP.HCM;DN trong nước;24;12;2024;1;0;Hành chính - Thư ký;Quận 7 - Nhân Viên Nhập Khẩu Tiếng Trung / Tiếng Anh;Chuyên viên- nhân viên;N/A;Lao động phổ thông;3;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/quan-7-nhan-vien-nhap-khau-tieng-trung-tieng-anh.html
737;Trung Tâm Nghiên Cứu Dịch Vụ Công Nghệ Và Môi Trường;TP.HCM;DN trong nước;7;12;2024;2;0;Môi trường - Xử lý chất thải;Nhân Viên Tư Vấn Môi Trường - Nhận Việc Đi Làm Ngay Hoặc Sau Tết;Chuyên viên- nhân viên;N/A;N/A;5;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-tu-van-moi-truong-nhan-viec-di-lam-ngay-hoac-sau-tet.html
738;Chi Nhánh Công Ty Cổ Phần Bệnh Viện Đa Khoa Quốc Tế Vinmec - Bệnh Viện Đa Khoa Quốc Tế Vinmec Smart City;Hà Nội;DN trong nước;10;12;2024;2;0;Khách sạn - Nhà hàng - Du lịch;Nhân Viên Bếp;Chuyên viên- nhân viên;N/A;N/A;2;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-bep.html
739;Công Ty TNHH Công Trình Cơ Điện Hợp Thiên;Hà Nội;DN trong nước;4;12;2024;2;0;Biên phiên dịch;Nhân Viên Nữ Trợ Lý Giám Đốc Phiên Dịch Tiếng Trung (Phỏng Vấn - Đi Làm Ngay);Chuyên viên- nhân viên;N/A;Lao động phổ thông;4;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-nu-tro-ly-giam-doc-phien-dich-tieng-trung-phong-van-di-lam-ngay.html
740;Công Ty Cổ Phần Q-Con Việt Nam;Hà Nội;DN trong nước;16;12;2024;2;2;Xây dựng;Kỹ Thuật Giám Sát Hiện Trường - Không Yêu Cầu Kinh Nghiệm;Chuyên viên- nhân viên;N/A;N/A;1;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/ky-thuat-giam-sat-hien-truong-khong-yeu-cau-kinh-nghiem.html
741;Chi Nhánh Công Ty Cổ Phần Bệnh Viện Đa Khoa Quốc Tế Vinmec - Bệnh Viện Đa Khoa Quốc Tế Vinmec Smart City;Hà Nội;DN trong nước;10;12;2024;5;0;An ninh - Bảo vệ;Nhân Viên Bảo Vệ (Đi Làm Ngay);Chuyên viên- nhân viên;N/A;N/A;1;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-bao-ve-di-lam-ngay.html
742;Công Ty TNHH LDK Việt Nam;Đồng Nai;DN trong nước;13;12;2024;5;5;Xây dựng;Nhân Viên Kiểm Hàng QC - Ngành Cơ Khí Xây Dựng;Chuyên viên- nhân viên;N/A;Trung học;1;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-kiem-hang-qc-nganh-co-khi-xay-dung.html
743;Công Ty TNHH Union Xn;Tây Ninh;DN trong nước;3;12;2024;5;0;Sản xuất - Lắp ráp - Chế biến;Quản Lý Sản Xuất;Quản lý nhóm- giám sát;N/A;Đại học;3;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/quan-ly-san-xuat.html
744;Công Ty CP Ilearn;Khánh Hòa;DN trong nước;3;12;2024;6;0;Giáo dục - Đào tạo;Giáo Viên (Toán , Khoa Học Tự Nhiên, Lý , Hóa , Tiểu Học);Chuyên viên- nhân viên;N/A;Lao động phổ thông;2;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/giao-vien-toan-khoa-hoc-tu-nhien-ly-hoa-tieu-hoc.html
745;Công Ty TNHH Fujidan Việt Nam;Đà Nẵng;DN trong nước;10;12;2024;2;0;Hành chính - Thư ký;Trợ Lý Tiếng Nhật - Đi Làm Ngay;Chuyên viên- nhân viên;N/A;Trung cấp;3;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/tro-ly-tieng-nhat-di-lam-ngay.html
746;Công Ty TNHH Sew-Eurodrive;Đồng Nai;DN trong nước;9;12;2024;1;1;Vận hành - Bảo trì - Bảo dưỡng;Service Engineer;Quản lý cấp cao;N/A;N/A;4;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/service-engineer.html
747;Công Ty Cổ Phần Lúa Vàng;TP.HCM;DN trong nước;20;12;2024;2;0;Bán hàng - Kinh doanh;Nhân Viên Kinh Doanh - Tp. Hồ Chí Minh;Chuyên viên- nhân viên;N/A;N/A;3;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-kinh-doanh-tp-ho-chi-minh.html
748;Viện Khoa Học Thuỷ Lợi Miền Nam;Bà Rịa - Vũng Tàu;DN trong nước;30;11;2024;1;1;Xây dựng;Nhân Viên Thí Nghiệm Vật Liệu Xây Dựng - Vũng Tàu;Chuyên viên- nhân viên;N/A;Chứng chỉ;3;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-thi-nghiem-vat-lieu-xay-dung-vung-tau.html
749;Công Ty TNHH Saigon Domain;Kiên Giang;DN trong nước;12;12;2024;2;0;Kế toán;Nhân Viên Kế Toán;Chuyên viên- nhân viên;N/A;N/A;1;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-ke-toan.html
750;Công Ty Tnhh Sx-Tm-Dv Quang Long Hưng;Bình Dương;DN trong nước;13;11;2024;20;0;Lao động phổ thông;Nhân Viên Kho Thời Vụ Lâu Dài;Cộng tác viên;N/A;N/A;1;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-kho-thoi-vu-lau-dai.html
751;Công Ty TNHH Thành Công Thanh Hóa;N/A;DN trong nước;28;11;2024;5;0;Khoa học - Kỹ thuật;Kỹ Thuật Viên Scc Xe Thương Mại;Quản lý cấp trung;N/A;N/A;3;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/ky-thuat-vien-scc-xe-thuong-mai.html
752;Công Ty TNHH Khuôn Mẫu Chính Xác Ju Yuan;Long An;DN trong nước;19;12;2024;4;0;Hành chính - Thư ký;Nhân Viên Văn Phòng (Biết Tiếng Trung) - Nhận Việc Sau Tết;Chuyên viên- nhân viên;N/A;N/A;3;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-van-phong-biet-tieng-trung-nhan-viec-sau-tet.html
753;Công Ty TNHH Hdagrifood;TP.HCM;DN trong nước;16;12;2024;5;0;Bán hàng - Kinh doanh;Nhân Viên Kinh Doanh Thị Trường;Chuyên viên- nhân viên;N/A;Lao động phổ thông;1;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-kinh-doanh-thi-truong.html
754;Công Ty TNHH Sản Xuất Thương Mại \u0026 In Bao Bì Netviet;Hà Nội;DN trong nước;10;12;2024;2;0;Kế toán;Nhân Viên Kế Toán - La Phù  Hoài Đức;Chuyên viên- nhân viên;N/A;Lao động phổ thông;3;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-ke-toan-la-phu-hoai-duc.html
755;Cửa Hàng Nguyễn Hoàng Anh - Công Ty TNHH Một Thành Viên Hà Đặng;TP.HCM;DN trong nước;23;12;2024;10;0;Bán hàng - Kinh doanh;Nhân Viên Tư Vấn Bán Hàng;Chuyên viên- nhân viên;N/A;N/A;2;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-tu-van-ban-hang.html
756;Công Ty TNHH Akc Vina;Bắc Ninh;DN trong nước;9;12;2024;1;0;IT Phần mềm;Kỹ Sư Phần Mềm;Chuyên viên- nhân viên;N/A;N/A;3;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/ky-su-phan-mem.html
757;Công Ty TNHH Thương Mại Thiết Bị Y Khoa Nguyễn Tùng;TP.HCM;DN trong nước;17;12;2024;2;0;Y tế - Chăm sóc sức khỏe;Nhân Viên Hồ Sơ Thầu Thiết Bị Y Tế;Chuyên viên- nhân viên;N/A;Lao động phổ thông;3;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-ho-so-thau-thiet-bi-y-te.html
758;Hộ Kinh Doanh Sài Gòn Phú Thịnh;TP.HCM;DN trong nước;13;12;2024;2;0;Cơ khí - Ô tô - Tự động hóa;Thợ Đứng Máy CNC Làm Việc Hóc Môn (Đi Làm Ngay);Chuyên viên- nhân viên;N/A;Đại học;1;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/tho-dung-may-cnc-lam-viec-hoc-mon-di-lam-ngay.html
759;Công Ty TNHH Real Vio;Bình Dương;DN trong nước;5;12;2024;5;0;Bán hàng - Kinh doanh;Nhân Viên Sales Quốc Tế - Cam Kết Thu Nhập Tối Thiểu 15 Triệu;Chuyên viên- nhân viên;N/A;Lao động phổ thông;4;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-sales-quoc-te-cam-ket-thu-nhap-toi-thieu-15-trieu.html
760;Công Ty TNHH Thương Mại Lâm Long;TP.HCM;DN trong nước;24;12;2024;3;0;Bán hàng - Kinh doanh;Nhân Viên Kinh Doanh (Mảng Hóa Chất Ngành Nhựa, Cao Su, Phụ Gia);Chuyên viên- nhân viên;N/A;Chứng chỉ;3;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-kinh-doanh-mang-hoa-chat-nganh-nhua-cao-su-phu-gia.html
761;Công Ty TNHH Phát Triển Tcn;Bình Phước;DN trong nước;30;11;2024;5;5;Cơ khí - Ô tô - Tự động hóa;Nhân Viên Kỹ Thuật Vận Hành Máy Tại Bình Phước;Chuyên viên- nhân viên;N/A;N/A;2;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-ky-thuat-van-hanh-may-tai-binh-phuoc.html
762;Công Ty Cổ Phần Xây Dựng Và Kỹ Thuật Thương Mại Hoàng Hà;Hà Nội;DN trong nước;24;12;2024;2;0;Xây dựng;Giám Sát Thi Công Công Trình;Quản lý nhóm- giám sát;N/A;N/A;7;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/giam-sat-thi-cong-cong-trinh.html
763;Công Ty TNHH Thương Mại Dịch Vụ Du Lịch Phương Nam;TP.HCM;DN trong nước;20;12;2024;3;3;Nghề nghiệp khác;Nam Bốc Xếp Hàng, Bao Cơm, Bao Ở Tại Quận 1;Chuyên viên- nhân viên;N/A;Đại học;1;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nam-boc-xep-hang-bao-com-bao-o-tai-quan-1.html
764;Công Ty Cổ Phần Học Viện Ứng Dụng Ai;Hà Nội;DN trong nước;28;11;2024;5;0;Marketing;Nữ Nhân Viên Marketing;Chuyên viên- nhân viên;N/A;N/A;3;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nu-nhan-vien-marketing.html
765;Trường Cao Đẳng Công Thương Việt Nam;TP.HCM;DN trong nước;20;12;2024;5;0;Giáo dục - Đào tạo;Giảng Viên Ngành Quản Trị Nhà Hàng - Quản Trị Khách Sạn - Hướng Dẫn Du Lịch;Quản lý cấp cao;N/A;N/A;3;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/giang-vien-nganh-quan-tri-nha-hang-quan-tri-khach-san-huong-dan-du-lich.html
766;Công Ty Cổ Phần Đầu Tư Xây Dựng Và Phát Triển Đô Thị Hồng Hà;Hà Nội;DN trong nước;11;12;2024;2;2;Xây dựng;Giám Sát Kỹ Thuật Hiện Trường;Quản lý nhóm- giám sát;N/A;Lao động phổ thông;4;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/giam-sat-ky-thuat-hien-truong.html
767;Chi Nhánh Bình Dương - Công Ty TNHH Hoằng Giai;Bình Dương;DN trong nước;9;12;2024;1;0;Thông tin - Truyền thông - Quảng cáo;Thủ Quỹ Biết Tiếng Trung;Chuyên viên- nhân viên;N/A;Chứng chỉ;2;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/thu-quy-biet-tieng-trung.html
768;Chi Nhánh Bình Dương - Công Ty TNHH Hoằng Giai;Bình Dương;DN trong nước;9;12;2024;10;10;Bán hàng - Kinh doanh;Nhân Viên Kinh Doanh Máy Công Trình -Thu Nhập Từ 15 - 50 Triệu;Chuyên viên- nhân viên;N/A;Chứng chỉ;3;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-kinh-doanh-may-cong-trinh-thu-nhap-tu-15-50-trieu.html
769;Công Ty TNHH Sản Xuất Longzi;Hà Nội;DN trong nước;11;12;2024;1;0;Kế toán;Kế Toán Tổng Hợp - Đi Làm Ngay;Chuyên viên- nhân viên;N/A;N/A;4;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/ke-toan-tong-hop-di-lam-ngay.html
